col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
CODE4_1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,147,6.687911005815575,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
RIVER_PLOT07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,342,7.811712091811813,object,0,0,0,0,0,0,0,0,0,0,0,1,
REQU_SEQX,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,364,8.18624749938665,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
TS_SMS_RECPTN_AGRE_YN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.9989581233509567,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
CPR_YN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.9989635531623797,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
FILE_GB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,92,6.00856136094025,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
ENVCAUTH_CD,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,95,6.0330457410947025,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
MST_IDR_HD,0.24474660074165636,0.0,1.0,0.24474660074165636,1.0,0.0,0.0,1.0,0.0,0.7552533992583437,0.0,0.0,0.36692432629824245,102,5.929337145550328,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
UPT_USR_ID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.757,1.0,0.0,0.0,0.0,0.639392,421,8.368605015556195,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
DSPO_PERM_MGT_NO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6185475078666707,159,6.762630886630548,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
DSPO_TRST_YN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.9933284551647098,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
WSTE_CODE,0.0,0.0,0.068,0.068,1.0,0.0,0.0,1.0,0.0,0.589,0.0,0.0,0.5111619999999999,257,7.7013146019986,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
LOGIN_FAIL_CNT,0.547,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,2.8942703004337966,object,0,0,0,0,0,0,0,1,0,0,0,0,수량
LSTK_TYPE,0.0,0.0,0.472,0.472,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,55,5.309655875911164,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
ELCTRN_WAYBIL_ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9876998769987699,0.0,0.0,0.0,0.5988919298787083,469,8.478944776686607,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
UPDUSR_ID,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,216,7.425490760139902,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
STT_CHG_USR_ID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.591,1.0,0.0,0.0,0.0,0.35348199999999996,500,8.66130944282526,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
EMIS_ENVICO_AUTH,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,95,6.025540465848401,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
RGST_DT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,150,6.79140558546045,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
WSTE_CODE,0.0,0.0,0.201,0.201,0.999,0.0,0.0,1.0,0.0,0.798,0.0,0.001,0.6728300000000002,254,7.6582671559840865,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
RGST_DT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,277,7.5893595944722625,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
