col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
INSERT_DATE,0.211,0.0,0.586,0.586,0.586,0.0,0.0,0.586,0.0,0.183,0.0,0.0,1.0,17,3.837078566890894,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
ETC_UPDATE_DATE,0.197,0.0,0.449,0.449,0.511,0.0,0.0,0.449,0.062,0.115,0.0,0.0,1.0,17,3.6348166321708417,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
UPT_USR_ID,0.203,0.0,0.218,0.218,0.65,0.0,0.0,0.218,0.432,0.0,0.0,0.0,1.0,20,4.035688629478118,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
DCSN_DE,0.288,0.0,0.658,0.658,0.658,0.0,0.0,0.658,0.0,0.0,0.0,0.0,1.0,11,2.963898821414234,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
REMNDR_RCLM_WT,0.162,0.0,0.566,0.566,0.566,0.0,0.0,0.566,0.0,0.0,0.0,0.0,1.0,15,3.5784633344761643,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
EML,0.015,0.0,0.058,0.058,0.604,0.0,0.0,0.058,0.546,0.077,0.0,0.0,1.0,28,4.4443466925453725,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
PRNG_MNTNG_EXUSE_VHCLE_CNT,0.09,0.0,0.221,0.221,0.221,0.0,0.0,0.221,0.0,0.0,0.0,0.0,1.0,10,2.7122714165996507,object,0,0,0,0,0,0,0,1,0,0,0,0,수량
ULT_VLU,0.191,0.0,0.27,0.27,0.389,0.0,0.0,0.27,0.119,0.0,0.0,0.0,1.0,13,3.1897929476665325,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
RECY_CNT,0.102,0.0,0.17,0.17,0.295,0.0,0.0,0.17,0.125,0.0,0.0,0.0,1.0,12,3.0438615820235957,object,0,0,0,0,0,0,0,1,0,0,0,0,수량
TRTB_TYPE,0.197,0.0,0.326,0.326,0.326,0.0,0.0,0.326,0.0,0.0,0.0,0.0,1.0,11,2.9136882411700027,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
