iter	Passed	Remaining
405	10353	15147
406	10385	15131
407	10418	15117
408	10441	15087
409	10472	15069
410	10496	15042
411	10519	15013
412	10541	14982
413	10560	14947
414	10579	14912
415	10597	14876
416	10621	14849
417	10643	14819
418	10662	14785
419	10679	14747
420	10698	14713
421	10721	14684
422	10743	14654
423	10768	14629
424	10791	14600
425	10817	14575
426	10842	14550
427	10872	14530
428	10904	14513
429	10928	14486
430	10963	14474
431	10996	14458
432	11019	14429
433	11041	14399
434	11062	14368
435	11086	14341
436	11106	14308
437	11134	14286
438	11166	14270
439	11187	14238
440	11208	14207
441	11231	14179
442	11256	14153
443	11276	14121
444	11299	14092
445	11320	14061
446	11343	14033
447	11371	14011
448	11397	13986
449	11416	13953
450	11436	13922
451	11464	13899
452	11486	13869
453	11508	13840
454	11530	13811
455	11554	13784
456	11574	13752
457	11593	13719
458	11613	13688
459	11634	13657
460	11655	13627
461	11682	13604
462	11702	13572
463	11723	13543
464	11744	13511
465	11770	13488
466	11790	13456
467	11810	13425
468	11830	13394
469	11852	13366
470	11888	13352
471	11911	13324
472	11929	13291
473	11950	13261
474	11971	13231
475	11990	13199
476	12012	13170
477	12031	13139
478	12050	13106
479	12072	13078
480	12094	13050
481	12113	13018
482	12133	12988
483	12156	12959
484	12182	12935
485	12203	12906
486	12223	12875
487	12241	12843
488	12260	12812
489	12282	12784
490	12303	12754
491	12327	12728
492	12350	12701
493	12376	12677
494	12397	12648
495	12418	12619
496	12437	12587
497	12462	12562
498	12481	12531
499	12508	12508
500	12530	12480
501	12551	12451
502	12571	12421
503	12593	12393
504	12614	12365
505	12636	12336
506	12660	12310
507	12682	12283
508	12709	12260
509	12734	12234
510	12752	12203
511	12773	12175
512	12796	12147
513	12820	12121
514	12843	12095
515	12874	12075
516	12894	12046
517	12914	12016
518	12933	11986
519	12957	11960
520	12983	11936
521	13010	11913
522	13028	11882
523	13047	11852
524	13065	11821
525	13084	11791
526	13103	11761
527	13122	11730
528	13144	11703
529	13165	11674
530	13183	11644
531	13201	11613
532	13225	11588
533	13253	11565
534	13271	11534
535	13292	11506
536	13320	11485
537	13342	11457
538	13367	11432
539	13390	11406
540	13412	11379
541	13437	11355
542	13460	11328
543	13481	11300
544	13503	11273
545	13524	11245
546	13554	11224
547	13573	11195
548	13594	11168
549	13617	11141
550	13640	11115
551	13660	11086
552	13682	11059
553	13706	11034
554	13729	11008
555	13750	10980
556	13776	10957
557	13802	10932
558	13822	10904
559	13846	10879
560	13878	10860
561	13904	10836
562	13931	10813
563	13955	10787
564	13983	10766
565	14004	10738
566	14026	10711
567	14049	10685
568	14069	10657
569	14095	10633
570	14114	10604
571	14137	10578
572	14162	10553
573	14179	10523
574	14200	10496
575	14221	10468
576	14239	10439
577	14259	10410
578	14280	10383
579	14308	10361
580	14326	10331
581	14348	10305
582	14368	10277
583	14388	10249
584	14408	10221
585	14430	10194
586	14450	10166
587	14469	10138
588	14492	10112
589	14513	10085
590	14534	10058
591	14555	10031
592	14574	10002
593	14594	9975
594	14613	9947
595	14630	9917
596	14648	9888
597	14668	9861
598	14688	9833
599	14720	9813
600	14745	9789
601	14779	9770
602	14817	9755
603	14872	9750
604	14898	9726
605	14948	9719
606	14977	9697
607	15003	9673
608	15029	9649
609	15050	9622
610	15071	9595
611	15093	9568
612	15115	9542
613	15145	9521
614	15171	9497
615	15200	9475
616	15236	9457
617	15276	9442
618	15313	9425
619	15363	9416
620	15391	9393
621	15414	9367
622	15441	9344
623	15467	9319
624	15490	9294
625	15511	9266
626	15533	9240
627	15553	9213
628	15575	9186
629	15594	9158
630	15618	9133
631	15637	9105
632	15654	9076
633	15675	9049
634	15702	9025
635	15729	9002
636	15754	8977
637	15782	8954
638	15805	8928
639	15835	8907
640	15866	8886
641	15891	8861
642	15922	8840
643	15952	8818
644	15973	8791
645	16004	8770
646	16027	8744
647	16047	8717
648	16066	8689
649	16086	8661
650	16106	8634
651	16127	8607
652	16146	8580
653	16166	8553
654	16187	8526
655	16211	8501
656	16231	8474
657	16252	8447
658	16274	8421
659	16301	8397
660	16326	8373
661	16348	8346
662	16367	8319
663	16387	8292
664	16412	8268
665	16433	8241
666	16451	8213
667	16477	8189
668	16497	8162
669	16520	8136
670	16539	8109
671	16560	8083
672	16581	8056
673	16605	8031
674	16628	8006
675	16652	7981
676	16679	7957
677	16701	7932
678	16730	7909
679	16751	7883
680	16775	7858
681	16797	7832
682	16832	7812
683	16851	7785
684	16875	7760
685	16896	7733
686	16919	7708
687	16940	7682
688	16960	7655
689	16984	7630
