iter	MultiClass
284	0.2946926087
285	0.2943707017
286	0.2942353622
287	0.2937943442
288	0.2936468867
289	0.2933520009
290	0.2932236362
291	0.2930358109
292	0.2927809877
293	0.2925010213
294	0.2922049466
295	0.2920383862
296	0.2915881255
297	0.2913078979
298	0.2908999394
299	0.29073695
300	0.2906376393
301	0.2902451164
302	0.2901183624
303	0.2900443239
304	0.2896929689
305	0.2893020073
306	0.2891537376
307	0.2886281542
308	0.2883728082
309	0.2879860369
310	0.2876186471
311	0.287481051
312	0.2872528507
313	0.2869302729
314	0.286772246
315	0.2864789354
316	0.2861206168
317	0.2860258439
318	0.2855834263
319	0.2854079173
320	0.2851036166
321	0.2850033227
322	0.2847103458
323	0.2845306004
324	0.284411901
325	0.2842901002
326	0.2840607782
327	0.283832114
328	0.2836847252
329	0.2834803883
330	0.283428596
331	0.283294275
332	0.2829466455
333	0.2825952275
334	0.28226065
335	0.2821205991
336	0.2818814181
337	0.2817106929
338	0.2815735235
339	0.2814045793
340	0.281345848
341	0.2809956187
342	0.2808167001
343	0.280676462
344	0.2804425324
345	0.2802936434
346	0.2800812794
347	0.2799099228
348	0.2796917561
349	0.2795812647
350	0.2794935662
351	0.2793841568
352	0.2791791766
353	0.2790687297
354	0.2789023603
355	0.2788128969
356	0.27857808
357	0.2784696828
358	0.2782322822
359	0.2779501341
360	0.2778193648
361	0.2776636844
362	0.2775313102
363	0.2774250154
364	0.2770801159
365	0.2769798013
366	0.2767652845
367	0.2766676808
368	0.2764048369
369	0.2762432462
370	0.2760907219
371	0.2759224402
372	0.2757910006
373	0.2755681158
374	0.2752951993
375	0.2749338016
376	0.2748131898
377	0.2745646743
378	0.2744766259
379	0.2742194004
380	0.274094521
381	0.273775476
382	0.2736487854
383	0.2733797369
384	0.2733249564
385	0.2731368558
386	0.2729901372
387	0.2728005458
388	0.2725023258
389	0.2722913117
390	0.2721355919
391	0.2719659777
392	0.2716558429
393	0.2714825834
394	0.2713797017
395	0.2712136286
396	0.2708736861
397	0.2706045324
398	0.2705244177
399	0.2704412912
400	0.2701696933
401	0.2697026931
402	0.2695935364
403	0.2693262818
404	0.2692060329
405	0.2690940022
406	0.2688742377
407	0.268773242
408	0.2685447343
409	0.2684080624
410	0.2682979809
411	0.2681698942
412	0.2678959447
413	0.2676959426
414	0.2675613315
415	0.2674536247
416	0.267212326
417	0.2670785725
418	0.2667721321
419	0.2666920882
420	0.2666405212
421	0.2665246071
422	0.2663922991
423	0.2661602233
424	0.2659942566
425	0.2657785206
426	0.2656567077
427	0.2653418412
428	0.2650103127
429	0.2649411189
430	0.2647351259
431	0.2645820871
432	0.2643729555
433	0.2642143897
434	0.26416356
435	0.2640913654
436	0.263719886
437	0.2636154624
438	0.2635479782
439	0.2635095448
440	0.263365611
441	0.2630979374
442	0.2630460917
443	0.2628799066
444	0.2628214945
445	0.2626899318
446	0.262657441
447	0.2624599779
448	0.2623645322
449	0.2623046456
450	0.2621653322
451	0.261975212
452	0.2618300609
453	0.2616024069
454	0.2615009228
455	0.2613234363
456	0.2611381979
457	0.2609429917
458	0.2607247245
459	0.2606528376
460	0.2606003034
461	0.2605099584
462	0.2604433727
463	0.2601806312
464	0.2600809106
465	0.2599647933
466	0.2596203406
467	0.2595397436
468	0.2593632045
469	0.2592364794
470	0.258916483
471	0.2588645979
472	0.2587854152
473	0.2586793052
474	0.2584935506
475	0.2584426694
476	0.2582196806
477	0.2581152035
478	0.2579974153
479	0.2578255957
480	0.2577725768
481	0.2576446239
482	0.2574583819
483	0.2571307318
484	0.2567969143
485	0.2565845671
486	0.2564485659
487	0.2563301514
488	0.2562647288
489	0.2561210327
490	0.2559421235
491	0.2558048372
492	0.2557143318
493	0.2555445636
494	0.2555025945
495	0.2553463672
496	0.2552890228
497	0.2552296048
498	0.255171739
499	0.2550591759
500	0.2549104816
501	0.2547830062
502	0.2545036085
503	0.2544552207
504	0.2541878287
505	0.2540905892
506	0.254047991
507	0.2539798844
508	0.2538488005
509	0.2537894328
510	0.253731101
511	0.253700274
512	0.2534363002
513	0.2533928004
514	0.2531957771
515	0.2530959924
516	0.2528605721
517	0.2527725595
518	0.2526324675
519	0.2525943387
520	0.2524503576
521	0.2524134557
522	0.2523480629
523	0.2520722124
524	0.2519379673
525	0.2518207207
526	0.2517395597
527	0.2515614075
528	0.2513794134
529	0.2511319388
530	0.251077524
531	0.2510015707
532	0.2507204352
533	0.2506378991
534	0.2504600211
535	0.2502344188
536	0.2500167516
537	0.2499965887
538	0.2499267888
539	0.2498003455
540	0.2495838417
541	0.24950611
542	0.2492325494
543	0.2490103557
544	0.2488767155
545	0.2488519857
546	0.2488045613
547	0.2487428762
548	0.2485530777
549	0.2485090766
550	0.2483931799
551	0.2483251709
552	0.2480896683
553	0.2478510759
554	0.2477943397
555	0.2477324413
556	0.2475460427
557	0.2473976545
558	0.2473104172
559	0.2472157696
560	0.2470008277
561	0.2468445803
562	0.2468194458
563	0.2467295068
564	0.2465777032
565	0.2464766267
566	0.2462960617
567	0.2462357969
568	0.2460621595
569	0.2459161859
570	0.2457275478
571	0.2456738374
572	0.2454910084
573	0.2454146319
574	0.245353235
575	0.2452383607
576	0.245135853
577	0.2450453144
578	0.2449446526
579	0.244886067
580	0.2448218949
581	0.2447943851
582	0.2447138665
583	0.2446614817
584	0.2445120273
585	0.2443341953
586	0.2443014305
587	0.2439990664
588	0.2438455072
589	0.2437317347
590	0.2435647689
591	0.2433349257
592	0.2431998253
593	0.2429687744
594	0.2427678228
595	0.2426421194
596	0.2424568932
597	0.2423468252
598	0.2423328841
599	0.2421576414
600	0.2418777583
601	0.2417992031
602	0.2416626384
603	0.2415076642
604	0.2414253692
605	0.2413443319
606	0.2412669492
607	0.2411914328
608	0.2410201352
609	0.240837193
610	0.2407338086
611	0.2406968144
612	0.2405390362
613	0.2403990352
614	0.2403641747
615	0.2401976788
616	0.2401299055
617	0.2400270329
618	0.2398557009
619	0.2397530988
620	0.2396226157
621	0.2395555817
622	0.2394967613
623	0.2394264913
624	0.2392459601
625	0.2390731286
626	0.2389523412
627	0.238854414
628	0.2387287279
629	0.2386760388
630	0.2385881621
631	0.2384498162
632	0.238397321
633	0.2381801479
634	0.2379843409
635	0.2378732989
636	0.2378142385
637	0.2376357624
638	0.2375120772
639	0.2374501549
640	0.2373136905
641	0.2371769444
642	0.2370965924
643	0.2369846206
644	0.2369651338
645	0.2369442186
646	0.2369221095
647	0.2368640913
648	0.2368441722
649	0.2367678913
650	0.2366484438
651	0.2365867027
652	0.2364310028
653	0.2362929921
654	0.2362678857
655	0.2362224104
656	0.2361054575
657	0.2359051121
658	0.2358684196
659	0.2358030752
660	0.2356651564
661	0.2355596091
662	0.2354900044
663	0.2353662431
664	0.2353434144
665	0.2353178078
666	0.2351659365
667	0.2349910966
668	0.23487998
669	0.2348100271
670	0.2346647728
671	0.2345838062
672	0.2345068092
673	0.2344399177
674	0.2343556789
675	0.2341831037
676	0.2339746407
677	0.2338359561
678	0.2337290089
679	0.2335660363
680	0.2334174814
681	0.2333316857
682	0.2332401435
683	0.233141569
684	0.2331003181
685	0.2330804573
686	0.2329507403
687	0.2328862676
688	0.2327615193
689	0.2326104271
690	0.2325861768
691	0.2324385089
692	0.2323531401
693	0.2321874082
694	0.2321100147
695	0.2320092623
696	0.2319907874
697	0.2318769123
698	0.2318471703
699	0.2317148984
700	0.2316380588
701	0.2314152606
702	0.2313672311
703	0.2312787721
704	0.2311432064
705	0.2310239345
706	0.2309159255
707	0.2307785881
708	0.2306655679
709	0.2306044908
710	0.230463499
711	0.2303519082
712	0.2303328853
713	0.230217094
714	0.2301715152
715	0.2301044109
716	0.2299325537
717	0.229880212
718	0.2296186443
719	0.2295851611
720	0.2294565909
721	0.229276476
722	0.2291949839
723	0.229175644
724	0.2291442545
725	0.2290528312
726	0.2290343364
727	0.2288996364
728	0.2287800378
729	0.2286865924
730	0.2285162683
731	0.2284077304
732	0.2283871004
733	0.2283496305
734	0.2283192638
735	0.2282827777
736	0.2282646861
737	0.2281578156
738	0.2280711318
739	0.2279936074
740	0.2279027922
741	0.227869231
742	0.2277956554
743	0.2276477674
744	0.2276146527
745	0.2275146383
746	0.2273553149
747	0.2273140941
748	0.2272525814
749	0.2271565082
750	0.2271108509
751	0.2270319587
752	0.2270188504
753	0.2269057307
754	0.2267251174
755	0.2264978713
756	0.2263712897
757	0.2263347139
758	0.2263155478
759	0.2262407414
760	0.226165772
761	0.2261243247
762	0.2259277319
763	0.2258728567
764	0.2258536819
765	0.2258242075
766	0.2257363552
767	0.2256238975
768	0.2255890482
769	0.2254713228
770	0.2254102904
771	0.2253534338
772	0.2253212957
773	0.2251804752
774	0.2251104086
775	0.2249590547
776	0.2248195592
777	0.2247039498
778	0.2246088344
779	0.2244359956
780	0.2243478669
781	0.2242511946
782	0.2241094207
783	0.2240275556
784	0.2239540456
785	0.2238232831
786	0.2235840874
787	0.2234027638
788	0.2233830026
789	0.2232542767
790	0.2232412164
791	0.2231287722
792	0.2230343256
793	0.2229297808
794	0.2228309658
795	0.2227043552
796	0.2226260252
797	0.2225830435
798	0.2225431882
799	0.2224131155
800	0.2222993329
801	0.2222462402
802	0.222233954
803	0.2221046463
804	0.2218079505
805	0.2217921059
806	0.2216930035
807	0.221652051
808	0.2215572464
809	0.2214444849
810	0.2214335901
811	0.2212969816
812	0.2212656605
813	0.2212192358
814	0.2211353814
815	0.221086601
816	0.2210314458
817	0.2209756186
818	0.2209195858
819	0.2207787939
820	0.2206618848
821	0.2206465392
822	0.2205797155
823	0.22044821
824	0.2203151805
825	0.2202612428
826	0.2201733309
827	0.2201564506
828	0.2201094074
829	0.2200654826
830	0.2200061911
831	0.2199437794
832	0.2198696781
833	0.2198504153
834	0.2197271026
835	0.2196307608
836	0.2195527329
837	0.2194215788
838	0.2193536036
839	0.219332514
840	0.2192785219
841	0.2192009839
842	0.2190738563
843	0.2189928372
844	0.2188655931
845	0.2188291602
846	0.2188131756
847	0.2186931909
848	0.21860939
849	0.2185491082
850	0.2184569183
851	0.2183266799
852	0.2182158985
853	0.2180383012
854	0.218006746
855	0.2179546191
856	0.2179078108
857	0.2178168727
858	0.2178002867
859	0.2177860869
860	0.2177189576
861	0.2176989838
862	0.2175031137
863	0.2174959371
864	0.2174499368
865	0.2173342669
866	0.2173154707
867	0.2172613832
868	0.2171806423
869	0.2171415495
870	0.2170098439
871	0.2169361198
872	0.2168151922
873	0.2167772734
874	0.2166824654
875	0.2166037514
876	0.2165813515
877	0.2165385531
878	0.2164990796
879	0.2164675444
880	0.2163707859
881	0.2162801366
882	0.2162621085
883	0.2162041184
884	0.2161503978
885	0.2160428431
886	0.2160194308
887	0.2159192999
888	0.2157779391
889	0.2157130771
890	0.2156753325
891	0.2154410908
892	0.2152609577
893	0.2151533816
894	0.215140589
895	0.2151082996
896	0.2149433164
897	0.2149342925
898	0.2148116469
899	0.2147617634
900	0.2145908511
901	0.214540475
902	0.2145088293
903	0.214446835
904	0.2143938643
905	0.2142577333
906	0.2142122511
907	0.2141676912
908	0.2141190594
909	0.2139682635
910	0.2139424465
911	0.2139278828
912	0.2138161607
913	0.2138075144
914	0.2137942595
915	0.2136821379
916	0.2136365212
917	0.213526524
918	0.2135059333
919	0.2134085828
920	0.2133273074
921	0.2132627271
922	0.2132190518
923	0.2131119182
924	0.2129613541
925	0.2129038528
926	0.2126753943
927	0.2126324451
928	0.212508969
929	0.2123978887
930	0.2123827288
931	0.2123044495
932	0.2121925586
933	0.2121790349
934	0.2120652185
935	0.2119974208
936	0.2119870416
937	0.2118843071
938	0.2118736131
939	0.2117681675
940	0.2116769445
941	0.2116490882
942	0.2116278404
943	0.2114978867
944	0.2114563979
945	0.2114420206
946	0.2113984003
947	0.2113498955
948	0.2112075327
949	0.2111623872
950	0.2110154343
951	0.2108709893
952	0.2107744238
953	0.2107549496
954	0.2106200407
955	0.2105960941
956	0.2104917468
957	0.2103725932
958	0.210302736
959	0.2102035824
960	0.210135086
961	0.2101240965
962	0.2100618282
963	0.2100079326
964	0.2098870296
965	0.2098726608
966	0.2097360421
967	0.2097151497
968	0.2096398523
969	0.2095570515
970	0.2095376766
971	0.20943183
972	0.2094044603
973	0.2093319591
974	0.2092592584
975	0.2091618304
976	0.2090497133
977	0.2090090218
978	0.2089972759
979	0.2089863735
980	0.2089798194
981	0.208933799
982	0.2088507191
983	0.2087921846
984	0.2087785137
985	0.2087620912
986	0.2087314879
987	0.2086424498
988	0.2085927216
989	0.208523794
990	0.20839936
991	0.2083693243
992	0.2083307775
993	0.2082528809
994	0.2082357538
995	0.2082261776
996	0.2081860888
997	0.2080635923
998	0.2080479718
999	0.207948714
